"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級数,学級数（学級）,（再掲）特別支援学級数
笠岡市立神内小学校,23,11,25,18,15,20,63,49,112,2,8,2
笠岡市立大島小学校,30,38,39,45,35,34,100,121,221,6,11,2
笠岡市立神島外小学校,3,3,2,6,4,4,10,12,22,,3,
笠岡市立白石小学校,,,,,,,,,,,,
笠岡市立北木小学校,1,1,3,2,2,3,5,7,12,,3,
笠岡市立真鍋小学校,,,,2,,1,1,2,3,,1,
笠岡市立六島小学校,,,,,2,,1,1,2,,1,
笠岡市立北川小学校,14,12,13,15,16,20,51,39,90,2,7,1
井原市立高屋小学校,29,31,33,36,31,35,90,105,195,15,9,3
井原市立大江小学校,18,18,19,14,11,20,47,53,100,2,7,1
井原市立稲倉小学校,9,11,9,13,10,15,37,30,67,8,8,2
井原市立県主小学校,4,9,9,10,8,6,19,27,46,3,7,1
井原市立木之子小学校,23,21,30,21,21,28,84,60,144,12,8,2
井原市立荏原小学校,13,15,18,16,23,21,56,50,106,6,8,2
井原市立西江原小学校,40,36,35,31,42,38,108,114,222,3,11,2
井原市立野上小学校,2,2,2,7,3,4,11,9,20,,3,
井原市立青野小学校,7,9,5,7,4,1,16,17,33,,4,
井原市立井原小学校,25,30,31,33,41,30,88,102,190,14,10,3
井原市立出部小学校,59,60,56,64,72,68,187,192,379,19,16,3
井原市立芳井小学校,23,32,32,32,23,28,88,82,170,5,8,2
井原市立明治小学校,,,,,,,,,,,,
井原市立美星小学校,16,15,21,20,19,24,63,52,115,6,7,1
総社市立総社小学校,132,140,127,140,113,134,394,392,786,46,31,8
総社市立総社中央小学校,58,68,67,58,71,62,205,179,384,23,15,3
総社市立総社北小学校,33,21,42,26,33,28,82,101,183,11,9,2
総社市立常盤小学校,122,144,129,138,126,142,429,372,801,40,32,8
総社市立総社東小学校,61,56,51,56,53,55,175,157,332,12,15,3
総社市立阿曽小学校,13,25,26,24,22,21,71,60,131,1,7,1
総社市立池田小学校,7,4,6,6,6,11,23,17,40,,5,
総社市立秦小学校,13,22,16,14,15,14,51,43,94,6,8,2
総社市立神在小学校,18,25,15,23,22,21,59,65,124,7,8,2
総社市立総社西小学校,15,30,15,24,35,37,81,75,156,12,9,3
総社市立新本小学校,9,13,13,12,9,8,37,27,64,4,7,1
