"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数,
新見市立西方小学校,6,10,11,13,9,15,35,29,64,2,7,1
新見市立千屋小学校,7,2,3,5,2,5,11,13,24,0,4,0
新見市立刑部小学校,15,15,22,16,21,29,73,45,118,5,8,2
新見市立神郷北小学校,8,4,1,8,5,6,19,13,32,0,4,0
新見市立神代小学校,9,6,8,12,6,6,27,20,47,2,6,1
新見市立本郷小学校,9,20,11,18,17,9,47,37,84,2,7,1
新見市立萬歳小学校,2,3,6,9,3,4,17,10,27,0,3,0
新見市立新砥小学校,4,7,6,6,3,5,15,16,31,0,4,0
新見市立矢神小学校,4,4,2,7,7,7,13,18,31,0,3,0
新見市立野馳小学校,9,10,8,19,11,17,40,34,74,0,6,0
備前市立西鶴山小学校,9,8,15,10,19,7,39,29,68,3,7,1
備前市立香登小学校,16,22,8,20,19,12,49,48,97,11,8,2
備前市立伊部小学校,57,33,44,48,54,35,144,127,271,16,13,3
備前市立片上小学校,21,21,13,28,26,24,76,57,133,9,8,2
備前市立伊里小学校,25,22,40,50,32,42,110,101,211,6,11,2
備前市立東鶴山小学校,10,5,4,6,6,9,20,20,40,1,5,1
備前市立三石小学校,10,9,13,8,11,11,30,32,62,0,6,0
備前市立日生西小学校,16,21,26,16,14,17,57,53,110,1,7,1
備前市立日生東小学校,21,20,21,23,29,24,82,56,138,10,8,2
備前市立吉永小学校,50,30,32,35,32,26,107,98,205,7,9,2
瀬戸内市立牛窓東小学校,11,15,20,10,18,12,38,48,86,1,7,1
瀬戸内市立牛窓西小学校,12,14,9,22,13,14,45,39,84,11,8,2
瀬戸内市立牛窓北小学校,9,10,7,6,12,17,25,36,61,0,6,0
瀬戸内市立邑久小学校,133,124,101,106,114,113,357,334,691,28,27,5
瀬戸内市立今城小学校,19,41,22,31,26,22,88,73,161,11,9,2
瀬戸内市立裳掛小学校,1,4,6,8,4,5,13,15,28,2,4,1
瀬戸内市立美和小学校,8,9,6,11,7,6,24,23,47,0,5,0
瀬戸内市立国府小学校,50,46,36,48,44,36,149,111,260,15,14,3
瀬戸内市立行幸小学校,66,66,60,61,62,59,203,171,374,15,15,3
赤磐市立山陽小学校,59,49,59,73,52,68,176,184,360,18,15,3
赤磐市立山陽西小学校,25,30,30,38,29,37,95,94,189,18,10,3
赤磐市立山陽東小学校,114,82,91,67,79,73,267,239,506,33,23,6
赤磐市立山陽北小学校,82,83,96,85,101,89,273,263,536,23,22,4
赤磐市立石相小学校,12,14,14,19,14,17,49,41,90,12,9,3
