"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
岡山市立城東台小学校,34,36,39,44,47,56,133,123,256,13,13,3
岡山市立幸島小学校,10,15,13,14,16,19,39,48,87,3,7,1
岡山市立御休小学校,21,24,11,29,23,14,71,51,122,8,8,2
岡山市立江西小学校,118,98,89,101,99,99,299,305,604,33,24,5
岡山市立千種小学校,26,24,33,29,21,30,74,89,163,5,8,2
岡山市立雄神小学校,15,12,13,8,20,9,40,37,77,4,7,1
岡山市立朝日小学校,13,7,2,8,10,7,23,24,47,2,6,1
岡山市立浮田小学校,32,27,38,33,32,26,92,96,188,3,8,1
岡山市立平島小学校,41,34,48,40,35,27,114,111,225,7,11,2
岡山市立政田小学校,38,42,35,40,43,36,106,128,234,12,11,3
岡山市立甲浦小学校,41,43,37,44,28,40,113,120,233,19,11,3
岡山市立芳田小学校,81,94,79,87,94,92,252,275,527,25,21,4
岡山市立浦安小学校,80,105,81,89,90,97,270,272,542,23,22,4
岡山市立小串小学校,3,5,2,3,9,5,12,15,27,2,4,1
岡山市立福田小学校,135,140,142,133,138,146,428,406,834,42,30,6
岡山市立妹尾小学校,82,93,85,85,89,86,263,257,520,29,22,5
岡山市立曾根小学校,26,34,22,23,29,22,83,73,156,14,9,3
岡山市立福島小学校,59,64,59,63,56,65,209,157,366,25,16,4
岡山市立芳泉小学校,208,20,11,231,268,252,518,472,990,78,38,13
岡山市立芳泉小学校ひばり分校,0,194,201,0,0,0,183,212,395,0,12,0
岡山市立興除小学校,38,41,42,37,27,27,101,111,212,14,11,3
岡山市立灘崎小学校,48,66,49,43,73,45,184,140,324,18,15,3
岡山市立灘崎小学校迫川分校,9,11,15,0,0,0,19,16,35,0,3,0
岡山市立七区小学校,24,30,16,24,20,30,78,66,144,7,8,2
岡山市立彦崎小学校,46,38,49,41,64,61,138,161,299,14,15,3
岡山市立南輝小学校,85,97,83,86,101,99,283,268,551,43,24,8
岡山市立東疇小学校,76,60,63,90,67,73,214,215,429,31,17,4
岡山市立平福小学校,98,80,94,82,95,85,276,258,534,22,21,4
岡山市立福浜小学校,129,134,112,165,134,142,414,402,816,42,32,7
岡山市立第一藤田小学校,45,35,46,40,36,40,135,107,242,16,11,3
岡山市立第二藤田小学校,59,47,55,44,70,58,165,168,333,18,15,3
岡山市立第三藤田小学校,21,19,29,28,22,23,68,74,142,12,9,3
岡山市立芳明小学校,100,88,90,92,82,87,266,273,539,30,21,4
岡山市立箕島小学校,61,47,43,46,34,36,130,137,267,6,12,2
倉敷市立倉敷東小学校,79,86,63,72,79,51,231,199,430,25,19,5
倉敷市立倉敷西小学校,43,67,55,47,61,57,157,173,330,11,14,2
倉敷市立老松小学校,147,157,130,156,159,131,426,454,880,50,35,8
倉敷市立万寿小学校,152,125,135,140,175,174,456,445,901,40,34,7
倉敷市立万寿東小学校,89,108,94,68,97,94,270,280,550,11,20,3
